"path","category","source","source_sha256","export_strategy","symbol","frame","output_sha256","bytes"
"shell/pasture-tools/toolbar-bg.png","shell/pasture-tools","mc/main/farmui1_v_40.swf","6a5dfd3936baffd34fa0264aae984c54f1d417a35c23ae99d2a8d7805a2363c5","symbol","225:ToolBarBg","1","358e14a5dfc2e78f089127c25d8dbe6d753837ec92ba8ec8c39f79daf49000bb","1005"
"shell/pasture-tools/feed-1.png","shell/pasture-tools","mc/main/farmui1_v_40.swf","6a5dfd3936baffd34fa0264aae984c54f1d417a35c23ae99d2a8d7805a2363c5","symbol","336:Grass","1","12ae45209f3f6e598814e01162b34c7b1a6cb90c79c035dcc34d8a461db9be73","10611"
"scene/farm/background.png","scene/farm","ui/farm/diy/1.swf","24358d2f3ae29eb15822453d43f440bebd9a2bf3085fe28bb8136a36595f15e5","root-frame","root","1","84b39a3b59c9cc3ed975ac4c3e98648bb310f3056d24fccbcfc2152bbe65ad45","319393"
"scene/farm/house.png","scene/farm","ui/farm/diy/2.swf","8962668c5d5fad391f9fc4c41ff788bbee5b3697d65516843090212d4c11c7ec","content-bounds","root","1","749466d669164d83537c699fba7fbbbf9b1a1d6542fe3ca73edcc2236fb00e0e","37390"
"scene/farm/fence.png","scene/farm","ui/farm/diy/3.swf","0a4681efe2c54c08ad94ebbc0d86e49bb8aacc5c26aea69e931308a91eb5bee2","content-bounds","root","1","500e92273efaff35cb60a7a11d003a403207f19c15882a4a2c76481fc68f6056","30771"
"scene/farm/doghouse.png","scene/farm","ui/farm/diy/4.swf","e5cd2ff87ac3e2e312e24ca7e4b6bde2cbd2b2e30075c76f75dab5c92bf0d870","content-bounds","root","1","095209668423641ebfcba83e23de633993109ee21bfe20a184a73337837ef22e","8527"
"scene/farm/pool-water.png","scene/farm","ui/water_v_5.swf","03b1cfaaec9524b24165c506a565319cd8260c23c89a438f858d01b14900a22e","symbol","27:WaterLand3","1","51e8145bcebc52496026f588654d110be1f07e5054630006c40c12dbdb83273d","117398"
"scene/farm/pool-frame.png","scene/farm","ui/water_v_5.swf","03b1cfaaec9524b24165c506a565319cd8260c23c89a438f858d01b14900a22e","symbol","30:StoneFrame1","1","95f0e20a4577e8496bad8931bdd42cc6d2a0b72785fec594fe38f9c8b66438f3","98228"
"scene/pasture/default/grass-tile.jpg","scene/pasture","mc/farm/diy/z1_105_1.swf","ceb2131b0d29961b6d1630bfef19422ae0b9977ccfbf17e66cdc1a6533abeb53","embedded-image","1.jpg","","f97a19bb95d2d0e1a3a74106204a2e2e7a6a18f80c7217c6db40a13d7b7700d9","8342"
"scene/pasture/default/horizon.jpg","scene/pasture","mc/farm/diy/z1_105_1.swf","ceb2131b0d29961b6d1630bfef19422ae0b9977ccfbf17e66cdc1a6533abeb53","embedded-image","2.jpg","","975100910535b690be3e630196f1e0d3e943959051e55f3eb6a25b541f85279e","11370"
"scene/pasture/default/ground-tile.jpg","scene/pasture","mc/farm/diy/z1_105_1.swf","ceb2131b0d29961b6d1630bfef19422ae0b9977ccfbf17e66cdc1a6533abeb53","embedded-image","4.jpg","","3706b72c6651e561d745b3f33058637f9ddfd0d7c7f2c807a0fd0676bf731d79","8891"
"scene/pasture/default/plant-1.png","scene/pasture","mc/farm/diy/z1_105_1.swf","ceb2131b0d29961b6d1630bfef19422ae0b9977ccfbf17e66cdc1a6533abeb53","embedded-image","13.png","","eb0c7d4d19f7b97227f42f419f861959eddabe1cf8824eb55cc02d5b0c1171fc","4639"
"scene/pasture/default/plant-2.png","scene/pasture","mc/farm/diy/z1_105_1.swf","ceb2131b0d29961b6d1630bfef19422ae0b9977ccfbf17e66cdc1a6533abeb53","embedded-image","14.png","","6116eb5a7c678270684f6cdbe4e575058739b4020786e4ddfeaa8586c7117445","4681"
"scene/pasture/default/ground-patch.png","scene/pasture","mc/farm/diy/z1_105_1.swf","ceb2131b0d29961b6d1630bfef19422ae0b9977ccfbf17e66cdc1a6533abeb53","embedded-image","15.png","","aaccbf29920caaaf21bf1633cc990af106225ca1a994722eae5bed4146fccda4","47356"
