"source_id","sex","display_order","item_type","source_status","asset_path","width","height","asset_status","integration_policy"
"529463","F","38","0","1","ui/qqshow/4/63/529463_0_0.png","140","226","complete","core-candidate"
"529451","F","39","0","1","ui/qqshow/4/51/529451_0_0.png","140","226","complete","core-candidate"
"529449","F","40","0","1","ui/qqshow/4/49/529449_0_0.png","140","226","complete","core-candidate"
"529436","F","41","0","1","ui/qqshow/4/36/529436_0_0.png","140","226","complete","core-candidate"
"529435","F","42","0","1","ui/qqshow/4/35/529435_0_0.png","140","226","complete","core-candidate"
"527880","F","43","0","1","ui/qqshow/8/80/527880_0_0.png","140","226","complete","core-candidate"
"527799","F","44","0","1","ui/qqshow/7/99/527799_0_0.png","140","226","complete","core-candidate"
"527798","F","45","0","1","ui/qqshow/7/98/527798_0_0.png","140","226","complete","core-candidate"
"527781","F","46","0","1","ui/qqshow/7/81/527781_0_0.png","140","226","complete","core-candidate"
"527779","F","47","0","1","ui/qqshow/7/79/527779_0_0.png","140","226","complete","core-candidate"
"527777","F","48","0","1","ui/qqshow/7/77/527777_0_0.png","140","226","complete","core-candidate"
"527773","F","49","0","1","ui/qqshow/7/73/527773_0_0.png","140","226","complete","core-candidate"
"527771","F","50","0","1","ui/qqshow/7/71/527771_0_0.png","140","226","complete","core-candidate"
"527769","F","51","0","1","ui/qqshow/7/69/527769_0_0.png","140","226","complete","core-candidate"
"527737","F","52","0","1","ui/qqshow/7/37/527737_0_0.png","140","226","complete","core-candidate"
"527714","F","53","0","1","ui/qqshow/7/14/527714_0_0.png","140","226","complete","core-candidate"
"527281","F","54","0","1","ui/qqshow/2/81/527281_0_0.png","140","226","complete","core-candidate"
"527271","F","55","0","1","ui/qqshow/2/71/527271_0_0.png","140","226","complete","core-candidate"
"527236","F","56","0","1","ui/qqshow/2/36/527236_0_0.png","140","226","complete","core-candidate"
"527234","F","57","0","1","ui/qqshow/2/34/527234_0_0.png","140","226","complete","core-candidate"
"527233","F","58","0","1","ui/qqshow/2/33/527233_0_0.png","140","226","complete","core-candidate"
"527230","F","59","0","1","ui/qqshow/2/30/527230_0_0.png","140","226","complete","core-candidate"
"527228","F","60","0","1","ui/qqshow/2/28/527228_0_0.png","140","226","complete","core-candidate"
"527225","F","61","0","1","ui/qqshow/2/25/527225_0_0.png","140","226","complete","core-candidate"
"527221","F","62","0","1","ui/qqshow/2/21/527221_0_0.png","140","226","complete","core-candidate"
"527219","F","63","0","1","ui/qqshow/2/19/527219_0_0.png","140","226","complete","core-candidate"
"525423","F","64","0","1","ui/qqshow/4/23/525423_0_0.png","140","226","complete","core-candidate"
"525422","F","65","0","1","ui/qqshow/4/22/525422_0_0.png","140","226","complete","core-candidate"
"525421","F","66","0","1","ui/qqshow/4/21/525421_0_0.png","140","226","complete","core-candidate"
"525420","F","67","0","1","ui/qqshow/4/20/525420_0_0.png","140","226","complete","core-candidate"
"525419","F","68","0","1","ui/qqshow/4/19/525419_0_0.png","140","226","complete","core-candidate"
"525418","F","69","0","1","ui/qqshow/4/18/525418_0_0.png","140","226","complete","core-candidate"
"525417","F","70","0","1","ui/qqshow/4/17/525417_0_0.png","140","226","complete","core-candidate"
"525416","F","71","0","1","ui/qqshow/4/16/525416_0_0.png","140","226","complete","core-candidate"
"525415","F","72","0","1","ui/qqshow/4/15/525415_0_0.png","140","226","complete","core-candidate"
"525410","F","73","0","1","ui/qqshow/4/10/525410_0_0.png","140","226","complete","core-candidate"
"525237","F","74","0","1","ui/qqshow/2/37/525237_0_0.png","140","226","complete","core-candidate"
"525236","F","75","0","1","ui/qqshow/2/36/525236_0_0.png","140","226","complete","core-candidate"
"525235","F","76","0","1","ui/qqshow/2/35/525235_0_0.png","140","226","complete","core-candidate"
"525234","F","77","0","1","ui/qqshow/2/34/525234_0_0.png","140","226","complete","core-candidate"
"525233","F","78","0","1","ui/qqshow/2/33/525233_0_0.png","140","226","complete","core-candidate"
"525232","F","79","0","1","ui/qqshow/2/32/525232_0_0.png","140","226","complete","core-candidate"
"525231","F","80","0","1","ui/qqshow/2/31/525231_0_0.png","140","226","complete","core-candidate"
"525230","F","81","0","1","ui/qqshow/2/30/525230_0_0.png","140","226","complete","core-candidate"
"525229","F","82","0","1","ui/qqshow/2/29/525229_0_0.png","140","226","complete","core-candidate"
"525168","F","83","0","1","ui/qqshow/1/68/525168_0_0.png","140","226","complete","core-candidate"
"525157","F","84","0","1","ui/qqshow/1/57/525157_0_0.png","140","226","complete","core-candidate"
"523156","F","85","0","1","ui/qqshow/1/56/523156_0_0.png","140","226","complete","core-candidate"
"523154","F","86","0","1","ui/qqshow/1/54/523154_0_0.png","140","226","complete","core-candidate"
"523106","F","87","0","1","ui/qqshow/1/6/523106_0_0.png","140","226","complete","core-candidate"
"523104","F","88","0","1","ui/qqshow/1/4/523104_0_0.png","140","226","complete","core-candidate"
"523103","F","89","0","1","ui/qqshow/1/3/523103_0_0.png","140","226","complete","core-candidate"
"523077","F","90","0","1","ui/qqshow/0/77/523077_0_0.png","140","226","complete","core-candidate"
"523052","F","91","0","1","ui/qqshow/0/52/523052_0_0.png","140","226","complete","core-candidate"
"523044","F","92","0","1","ui/qqshow/0/44/523044_0_0.png","140","226","complete","core-candidate"
"523043","F","93","0","1","ui/qqshow/0/43/523043_0_0.png","140","226","complete","core-candidate"
"523042","F","94","0","1","ui/qqshow/0/42/523042_0_0.png","140","226","complete","core-candidate"
"523041","F","95","0","1","ui/qqshow/0/41/523041_0_0.png","140","226","complete","core-candidate"
"523039","F","96","0","1","ui/qqshow/0/39/523039_0_0.png","140","226","complete","core-candidate"
"523038","F","97","0","1","ui/qqshow/0/38/523038_0_0.png","140","226","complete","core-candidate"
"523037","F","98","0","1","ui/qqshow/0/37/523037_0_0.png","140","226","complete","core-candidate"
"523036","F","99","0","1","ui/qqshow/0/36/523036_0_0.png","140","226","complete","core-candidate"
"523025","F","100","0","1","ui/qqshow/0/25/523025_0_0.png","140","226","complete","core-candidate"
"523024","F","101","0","1","ui/qqshow/0/24/523024_0_0.png","140","226","complete","core-candidate"
"523020","F","102","0","1","ui/qqshow/0/20/523020_0_0.png","140","226","complete","core-candidate"
"522997","F","103","0","1","ui/qqshow/9/97/522997_0_0.png","140","226","complete","core-candidate"
"522994","F","104","0","1","ui/qqshow/9/94/522994_0_0.png","140","226","complete","core-candidate"
"520054","F","105","0","1","ui/qqshow/0/54/520054_0_0.png","140","226","complete","core-candidate"
"520051","F","106","0","1","ui/qqshow/0/51/520051_0_0.png","140","226","complete","core-candidate"
"520035","F","107","0","1","ui/qqshow/0/35/520035_0_0.png","140","226","complete","core-candidate"
"520029","F","108","0","1","ui/qqshow/0/29/520029_0_0.png","140","226","complete","core-candidate"
"520020","F","109","0","1","ui/qqshow/0/20/520020_0_0.png","140","226","complete","core-candidate"
"520013","F","110","0","1","ui/qqshow/0/13/520013_0_0.png","140","226","complete","core-candidate"
"520003","F","111","0","1","ui/qqshow/0/3/520003_0_0.png","140","226","complete","core-candidate"
"519981","F","112","0","1","ui/qqshow/9/81/519981_0_0.png","140","226","complete","core-candidate"
"519975","F","113","0","1","ui/qqshow/9/75/519975_0_0.png","140","226","complete","core-candidate"
"519969","F","114","0","1","ui/qqshow/9/69/519969_0_0.png","140","226","complete","core-candidate"
"519966","F","115","0","1","ui/qqshow/9/66/519966_0_0.png","140","226","complete","core-candidate"
"519941","F","116","0","1","ui/qqshow/9/41/519941_0_0.png","140","226","complete","core-candidate"
"519913","F","117","0","1","ui/qqshow/9/13/519913_0_0.png","140","226","complete","core-candidate"
"519873","F","118","0","1","ui/qqshow/8/73/519873_0_0.png","140","226","complete","core-candidate"
"519871","F","119","0","1","ui/qqshow/8/71/519871_0_0.png","140","226","complete","core-candidate"
"519854","F","120","0","1","ui/qqshow/8/54/519854_0_0.png","140","226","complete","core-candidate"
"519849","F","121","0","1","ui/qqshow/8/49/519849_0_0.png","140","226","complete","core-candidate"
"519842","F","122","0","1","ui/qqshow/8/42/519842_0_0.png","140","226","complete","core-candidate"
"519793","F","123","0","1","ui/qqshow/7/93/519793_0_0.png","140","226","complete","core-candidate"
"519778","F","124","0","1","ui/qqshow/7/78/519778_0_0.png","140","226","complete","core-candidate"
"519774","F","125","0","1","ui/qqshow/7/74/519774_0_0.png","140","226","complete","core-candidate"
"519771","F","126","0","1","ui/qqshow/7/71/519771_0_0.png","140","226","complete","core-candidate"
"519749","F","127","0","1","ui/qqshow/7/49/519749_0_0.png","140","226","complete","core-candidate"
