"source_id","name","runtime_status","state_key","source_character_id","source_export_file","source_sha256","runtime_asset","runtime_sha256","visual_review_status","processing_status"
"1012","鸭","1","cub","14","a1012.swf/DefineSprite_14_Animal_1012_1/1.png","280dde7da0f4b44682476ca97a8da4993254a21a19f024429b91df7bba6f2d13","apps/web/public/assets/manor/classic/pasture/animals/1012/cub.png","280dde7da0f4b44682476ca97a8da4993254a21a19f024429b91df7bba6f2d13","reviewed-ok","ready"
"1012","鸭","2","growing","58","a1012.swf/DefineSprite_58_Animal_1012_2/1.png","bf66b96dcab4b24662b92df61fc816b55b06dbe738a750ec258e38d59e880b22","apps/web/public/assets/manor/classic/pasture/animals/1012/growing.png","bf66b96dcab4b24662b92df61fc816b55b06dbe738a750ec258e38d59e880b22","reviewed-ok","ready"
"1012","鸭","3","ready_to_produce","90","a1012.swf/DefineSprite_90_Animal_1012_3/1.png","3640119b6b5b98924480c76d4180c8bb67c537da114f079574950f65cc07e87f","apps/web/public/assets/manor/classic/pasture/animals/1012/ready_to_produce.png","3640119b6b5b98924480c76d4180c8bb67c537da114f079574950f65cc07e87f","reviewed-ok","ready"
"1012","鸭","4","production_early","78","a1012.swf/DefineSprite_78_Animal_1012_4/1.png","481d7478e2abd6439403af75ead2d07ae8997a2537fb8a20abac03a7b4993ce3","apps/web/public/assets/manor/classic/pasture/animals/1012/production_early.png","481d7478e2abd6439403af75ead2d07ae8997a2537fb8a20abac03a7b4993ce3","reviewed-ok","ready"
"1012","鸭","5","production_late","75","a1012.swf/DefineSprite_75_Animal_1012_5/1.png","f4bbeb656cfa78457661b80bd60eb17333d339ad990bbc481d84adbed6b4b6c3","apps/web/public/assets/manor/classic/pasture/animals/1012/production_late.png","f4bbeb656cfa78457661b80bd60eb17333d339ad990bbc481d84adbed6b4b6c3","reviewed-ok","ready"
"1012","鸭","6","lifecycle_complete","95","a1012.swf/DefineSprite_95_Animal_1012_6/1.png","9aa5f5e084901e843b91df290be8225d08756397a0adf44a9a7279e346ed19ce","apps/web/public/assets/manor/classic/pasture/animals/1012/lifecycle_complete.png","9aa5f5e084901e843b91df290be8225d08756397a0adf44a9a7279e346ed19ce","reviewed-ok","ready"
"1015","乌骨鸡","1","cub","88","a1015.swf/DefineSprite_88_Animal_1015_1/1.png","fc927ce00defbf97acf49c0cb1e9908d89cdcc35870330fe90cb731d2e28cd67","apps/web/public/assets/manor/classic/pasture/animals/1015/cub.png","fc927ce00defbf97acf49c0cb1e9908d89cdcc35870330fe90cb731d2e28cd67","reviewed-ok","ready"
"1015","乌骨鸡","2","growing","77","a1015.swf/DefineSprite_77_Animal_1015_2/1.png","7e3f70e15b5d7eea048ae6a823dbd962f0adf6c63b6a361da06c946a564589d3","apps/web/public/assets/manor/classic/pasture/animals/1015/growing.png","7e3f70e15b5d7eea048ae6a823dbd962f0adf6c63b6a361da06c946a564589d3","reviewed-ok","ready"
"1015","乌骨鸡","3","ready_to_produce","66","a1015.swf/DefineSprite_66_Animal_1015_3/1.png","76d7fb363d3d45b6ca2842b20a5078807a35a9dae610d92bc7db67f28280f63b","apps/web/public/assets/manor/classic/pasture/animals/1015/ready_to_produce.png","76d7fb363d3d45b6ca2842b20a5078807a35a9dae610d92bc7db67f28280f63b","reviewed-ok","ready"
"1015","乌骨鸡","4","production_early","41","a1015.swf/DefineSprite_41_Animal_1015_4/1.png","423079f7526a590f41bd16ccae5852eb8a26b4e62429dcaae4beb51891e1024e","apps/web/public/assets/manor/classic/pasture/animals/1015/production_early.png","423079f7526a590f41bd16ccae5852eb8a26b4e62429dcaae4beb51891e1024e","reviewed-ok","ready"
"1015","乌骨鸡","5","production_late","38","a1015.swf/DefineSprite_38_Animal_1015_5/1.png","146f676397e345c1ff2841a37aaa1afd23ff3f536cad4f221f837127a25b2bbf","apps/web/public/assets/manor/classic/pasture/animals/1015/production_late.png","146f676397e345c1ff2841a37aaa1afd23ff3f536cad4f221f837127a25b2bbf","reviewed-ok","ready"
"1015","乌骨鸡","6","lifecycle_complete","102","a1015.swf/DefineSprite_102_Animal_1015_6/1.png","18e889066f54a6a826dff5c996ddc8198b31eed003aec3c3e608a6d5f61cfdeb","apps/web/public/assets/manor/classic/pasture/animals/1015/lifecycle_complete.png","18e889066f54a6a826dff5c996ddc8198b31eed003aec3c3e608a6d5f61cfdeb","reviewed-ok","ready"
"1507","羚羊","1","cub","85","a1507.swf/DefineSprite_85_Animal_1507_1/1.png","ae596188ce79ee914f3fa8fbdb409fa34b095d589f1af26b2ff17106deceff33","apps/web/public/assets/manor/classic/pasture/animals/1507/cub.png","ae596188ce79ee914f3fa8fbdb409fa34b095d589f1af26b2ff17106deceff33","reviewed-ok","ready"
"1507","羚羊","2","growing","144","a1507.swf/DefineSprite_144_Animal_1507_2/1.png","3cc53ee79f6faad8528182ac6da68762a02b93a39835ef311a74722685ac63f9","apps/web/public/assets/manor/classic/pasture/animals/1507/growing.png","3cc53ee79f6faad8528182ac6da68762a02b93a39835ef311a74722685ac63f9","reviewed-ok","ready"
