"source_id","name","original_level","runtime_status","state_key","state_label","source_class","source_character_id","source_export_file","source_sha256","exported_frame_count","width","height","visible_pixels","visible_x","visible_y","visible_width","visible_height","automated_status","visual_review_status"
"1008","松鼠","12","2","growing","成长","Animal_1008_2","155","a1008.swf/DefineSprite_155_Animal_1008_2/1.png","ce8cdfc8ebab8fe8f42eb8caed0e3aeab8485db512408488d223a51dc82db6a1","1","105","74","3067","17","6","72","58","ready-for-visual-review","reviewed-ok"
"1008","松鼠","12","3","ready_to_produce","成熟待生产","Animal_1008_3","238","a1008.swf/DefineSprite_238_Animal_1008_3/1.png","5eb8baf53e1fba39eb11d9293a7f1ac1e83d5a6f9898519d3f23f2a2d2773717","1","143","115","7091","20","0","123","106","ready-for-visual-review","reviewed-ok"
"1008","松鼠","12","4","production_early","生产阶段一","Animal_1008_4","31","a1008.swf/DefineSprite_31_Animal_1008_4/1.png","8b63ce158f0a4c34c544cdc0649f373acb812271368d0557660a93f7728a8aa4","1","86","64","3128","4","0","79","60","ready-for-visual-review","reviewed-ok"
"1008","松鼠","12","5","production_late","生产阶段二","Animal_1008_5","211","a1008.swf/DefineSprite_211_Animal_1008_5/1.png","5e363634038bfa6155b268e8572b1a96e9e309e8703eef4ed5f08fe370adcbab","1","126","93","4784","20","10","92","68","ready-for-visual-review","reviewed-ok"
"1008","松鼠","12","6","lifecycle_complete","生命周期结束","Animal_1008_6","195","a1008.swf/DefineSprite_195_Animal_1008_6/1.png","3cca904dbdb506860ba9e6a793c371e3a3a5170b051df7c2054051fbbe6b2bd5","1","130","97","5020","19","11","97","71","ready-for-visual-review","reviewed-ok"
"1009","波斯猫","13","1","cub","幼年","Animal_1009_1","143","a1009.swf/DefineSprite_143_Animal_1009_1/1.png","aa3c66e53d1c7be0c1fa6c29b404892f0f2d621e760f3fe9bb16bc51a524d172","1","55","45","1340","4","1","47","38","ready-for-visual-review","reviewed-ok"
"1009","波斯猫","13","2","growing","成长","Animal_1009_2","117","a1009.swf/DefineSprite_117_Animal_1009_2/1.png","74ffffe540b89289277a6937838b61ba8f3f072fa99bdb8ec36e37eb34000f70","1","76","58","2928","3","1","70","54","ready-for-visual-review","reviewed-ok"
"1009","波斯猫","13","3","ready_to_produce","成熟待生产","Animal_1009_3","64","a1009.swf/DefineSprite_64_Animal_1009_3/1.png","a6c588767c5d3b31f141a5a70c32464bc63c0e2abf63a65eb899c3b4c9ce0fc0","1","104","133","6586","4","16","100","111","ready-for-visual-review","reviewed-ok"
"1009","波斯猫","13","4","production_early","生产阶段一","Animal_1009_4","16","a1009.swf/DefineSprite_16_Animal_1009_4/1.png","57024f6a7e6ae59cf521bcfdd5ccb3c173d5cb54912aa68a3d0fb33f0258a511","1","75","69","2887","5","0","66","65","ready-for-visual-review","reviewed-ok"
"1009","波斯猫","13","5","production_late","生产阶段二","Animal_1009_5","71","a1009.swf/DefineSprite_71_Animal_1009_5/1.png","7037e18efcb4d10b5e3fb34ebc80b0d1180effcc734450ba4741227e79566d8b","1","84","91","4734","4","2","76","83","ready-for-visual-review","reviewed-ok"
"1009","波斯猫","13","6","lifecycle_complete","生命周期结束","Animal_1009_6","81","a1009.swf/DefineSprite_81_Animal_1009_6/1.png","943c795f79b35b52acfff2b175cf72c3de96e552b83e7f73f0515186e3802403","1","84","91","4716","4","2","75","82","ready-for-visual-review","reviewed-ok"
"1012","鸭","14","1","cub","幼年","Animal_1012_1","14","a1012.swf/DefineSprite_14_Animal_1012_1/1.png","280dde7da0f4b44682476ca97a8da4993254a21a19f024429b91df7bba6f2d13","1","27","38","682","1","1","24","35","ready-for-visual-review","reviewed-ok"
"1012","鸭","14","2","growing","成长","Animal_1012_2","58","a1012.swf/DefineSprite_58_Animal_1012_2/1.png","bf66b96dcab4b24662b92df61fc816b55b06dbe738a750ec258e38d59e880b22","1","37","54","1410","1","2","35","52","ready-for-visual-review","reviewed-ok"
"1012","鸭","14","3","ready_to_produce","成熟待生产","Animal_1012_3","90","a1012.swf/DefineSprite_90_Animal_1012_3/1.png","3640119b6b5b98924480c76d4180c8bb67c537da114f079574950f65cc07e87f","1","89","108","4835","15","0","74","103","ready-for-visual-review","reviewed-ok"
"1012","鸭","14","4","production_early","生产阶段一","Animal_1012_4","78","a1012.swf/DefineSprite_78_Animal_1012_4/1.png","481d7478e2abd6439403af75ead2d07ae8997a2537fb8a20abac03a7b4993ce3","1","41","67","1804","1","0","39","66","ready-for-visual-review","reviewed-ok"
"1012","鸭","14","5","production_late","生产阶段二","Animal_1012_5","75","a1012.swf/DefineSprite_75_Animal_1012_5/1.png","f4bbeb656cfa78457661b80bd60eb17333d339ad990bbc481d84adbed6b4b6c3","1","45","69","2246","1","2","42","67","ready-for-visual-review","reviewed-ok"
"1012","鸭","14","6","lifecycle_complete","生命周期结束","Animal_1012_6","95","a1012.swf/DefineSprite_95_Animal_1012_6/1.png","9aa5f5e084901e843b91df290be8225d08756397a0adf44a9a7279e346ed19ce","1","45","69","2231","1","1","41","68","ready-for-visual-review","reviewed-ok"
