"current_file","category","entity_id","entity_name","app_stage","app_stage_name","width","height","bytes","sha256","source_reference","source_character","mapping_status"
"assets/manor/classic/tool-harvest-1_up.png","tool","","","","","52","43","2345","e4264dfb4d2fe59efe095d751ee62341fa45684015a34cefa0d4bcf7b4a515db","module/nc/main/farmui1_v_12.swf","25:ButtonHand","verified-jpexs-export"
"assets/manor/classic/tool-harvest-2_over.png","tool","","","","","52","43","2580","c8a58f9aa88e33e2a3bba85e4f79b5ebe9a680313bf461c207e0c79402cd52e5","module/nc/main/farmui1_v_12.swf","25:ButtonHand","verified-jpexs-export"
"assets/manor/classic/tool-harvest-3_down.png","tool","","","","","52","43","2345","e4264dfb4d2fe59efe095d751ee62341fa45684015a34cefa0d4bcf7b4a515db","module/nc/main/farmui1_v_12.swf","25:ButtonHand","verified-jpexs-export"
"assets/manor/classic/tool-hoe-1_up.png","tool","","","","","42","44","2913","3e30bd8a4d7326e89831ebb9f00130d7fb1687c27cca2dda833d49a200c72d67","module/nc/main/farmui1_v_12.swf","254:ButtonHoe","verified-jpexs-export"
"assets/manor/classic/tool-hoe-2_over.png","tool","","","","","42","44","3095","a478b69eabb0e4ef667516c671f17363d1d45a0dc4ae77cb5f54ee5e328a50fc","module/nc/main/farmui1_v_12.swf","254:ButtonHoe","verified-jpexs-export"
"assets/manor/classic/tool-hoe-3_down.png","tool","","","","","42","44","2913","3e30bd8a4d7326e89831ebb9f00130d7fb1687c27cca2dda833d49a200c72d67","module/nc/main/farmui1_v_12.swf","254:ButtonHoe","verified-jpexs-export"
"assets/manor/classic/tool-move-1_up.png","tool","","","","","42","42","1911","cf3aed938dbe1870a69ba892dbf25445ccfb7f2d5dff013879013cea8e7bcae7","module/nc/main/farmui1_v_12.swf","231:Cursor","verified-jpexs-export"
"assets/manor/classic/tool-move-2_over.png","tool","","","","","42","42","2302","e55d573fdaba93798255a41342e5f876a597849ab753b091833feff9df0cfc88","module/nc/main/farmui1_v_12.swf","231:Cursor","verified-jpexs-export"
"assets/manor/classic/tool-move-3_down.png","tool","","","","","42","42","1911","cf3aed938dbe1870a69ba892dbf25445ccfb7f2d5dff013879013cea8e7bcae7","module/nc/main/farmui1_v_12.swf","231:Cursor","verified-jpexs-export"
"assets/manor/classic/tool-pesticide-1_up.png","tool","","","","","42","45","3367","9e1028042d2f2ca11e30119eaf03781a88f0df932019145dfd0b155cfaa59443","module/nc/main/farmui1_v_12.swf","247:ButtonPesticide","verified-jpexs-export"
"assets/manor/classic/tool-pesticide-2_over.png","tool","","","","","42","45","3607","a49cab125fce9d054b7abd9b8d5d87ff00ddcaccb91a6842e6076b8391ff66c6","module/nc/main/farmui1_v_12.swf","247:ButtonPesticide","verified-jpexs-export"
"assets/manor/classic/tool-pesticide-3_down.png","tool","","","","","42","45","3367","9e1028042d2f2ca11e30119eaf03781a88f0df932019145dfd0b155cfaa59443","module/nc/main/farmui1_v_12.swf","247:ButtonPesticide","verified-jpexs-export"
"assets/manor/classic/tool-seed-1_up.png","tool","","","","","42","47","3534","246aaacc6e4c82659a739688a6c4328a25457d1ff298638622a1536a022e51f7","module/nc/main/farmui1_v_12.swf","236:ButtonSeed","verified-jpexs-export"
"assets/manor/classic/tool-seed-2_over.png","tool","","","","","42","47","3669","40aa8bee1dba744cd098379808e9291ec7e62b59baf709e712799a42c5e4e08d","module/nc/main/farmui1_v_12.swf","236:ButtonSeed","verified-jpexs-export"
"assets/manor/classic/tool-seed-3_down.png","tool","","","","","42","47","3534","246aaacc6e4c82659a739688a6c4328a25457d1ff298638622a1536a022e51f7","module/nc/main/farmui1_v_12.swf","236:ButtonSeed","verified-jpexs-export"
"assets/manor/classic/tool-water-1_up.png","tool","","","","","58","43","3821","8caed2f37f77ac36301fb5f0ed7faef986baa364c08810184c4798d98f76d58c","module/nc/main/farmui1_v_12.swf","234:ButtonWater","verified-jpexs-export"
"assets/manor/classic/tool-water-2_over.png","tool","","","","","58","43","4321","420e71a0e789c17d741c7ab80ecc0cbbfbda9f444996c11b876d946459687c56","module/nc/main/farmui1_v_12.swf","234:ButtonWater","verified-jpexs-export"
