"source_id","runtime_id","name","runtime_stage","runtime_stage_key","linked_state_index","linked_state_key","source_character_id","source_relationship","source_export_file","source_sha256","runtime_asset","runtime_sha256","visual_review_status","processing_status"
"79","legacy-79","番石榴","4","pre_mature","4","pre_mature","16","state-character","Crop_79.swf/DefineSprite_16/1.png","b041377f02a26d2baa23f4b06b375379e482c24d263232ef1e764032df94bee9","apps/web/public/assets/manor/classic/crops/79/pre_mature.png","b041377f02a26d2baa23f4b06b375379e482c24d263232ef1e764032df94bee9","reviewed-ok","ready"
"79","legacy-79","番石榴","5","mature","5","mature","18","state-character","Crop_79.swf/DefineSprite_18/1.png","4e6a6a5cb744df73ba8f0cf49880cf25b76702d4394d0a516f7d30944bac4559","apps/web/public/assets/manor/classic/crops/79/mature.png","4e6a6a5cb744df73ba8f0cf49880cf25b76702d4394d0a516f7d30944bac4559","reviewed-ok","ready"
"79","legacy-79","番石榴","6","withered","6","withered","20","state-character","Crop_79.swf/DefineSprite_20/1.png","3b8740077b01607fba3cecfc38060fcca8e4e257161581c52be0a1ad233ddea7","apps/web/public/assets/manor/classic/crops/79/withered.png","3b8740077b01607fba3cecfc38060fcca8e4e257161581c52be0a1ad233ddea7","reviewed-ok","ready"
"75","legacy-75","桑葚","0","seed","0","seed","2","state-character","Crop_75.swf/DefineSprite_2/1.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","apps/web/public/assets/manor/classic/crops/75/seed.png","1e75b2a99aeaa14220763d25acf65fa0ff908743b2b909b7502163ac656336ca","reviewed-ok","ready"
"75","legacy-75","桑葚","1","sprout","1","sprout","11","state-character","Crop_75.swf/DefineSprite_11/1.png","e651ed17b7c552d181356b9805201dc6d1a4606e0fae04974a7c10a7c3405776","apps/web/public/assets/manor/classic/crops/75/sprout.png","e651ed17b7c552d181356b9805201dc6d1a4606e0fae04974a7c10a7c3405776","reviewed-ok","ready"
"75","legacy-75","桑葚","2","young","2","young","16","state-character","Crop_75.swf/DefineSprite_16/1.png","50ccb0b9e2b8bfe6a40c6d76c61adf24c56e0f08e80869ff407ff8c3a4eb6d67","apps/web/public/assets/manor/classic/crops/75/young.png","50ccb0b9e2b8bfe6a40c6d76c61adf24c56e0f08e80869ff407ff8c3a4eb6d67","reviewed-ok","ready"
"75","legacy-75","桑葚","3","growing","3","growing","20","state-character","Crop_75.swf/DefineSprite_20/1.png","6d51f96230d2a8d94800cf0b3fd1910cca6d1bfe5b08370d1b1eca3afe7d9322","apps/web/public/assets/manor/classic/crops/75/growing.png","6d51f96230d2a8d94800cf0b3fd1910cca6d1bfe5b08370d1b1eca3afe7d9322","reviewed-ok","ready"
"75","legacy-75","桑葚","4","pre_mature","4","pre_mature","24","state-character","Crop_75.swf/DefineSprite_24/1.png","1d130298d4e72b61b67079833f558168ed172f364cbfe119d575d5127d152c20","apps/web/public/assets/manor/classic/crops/75/pre_mature.png","1d130298d4e72b61b67079833f558168ed172f364cbfe119d575d5127d152c20","reviewed-ok","ready"
"75","legacy-75","桑葚","5","mature","5","mature","39","state-character","Crop_75.swf/DefineSprite_39/1.png","c1acdd21e809cd25bcc006f8e2a9836c80d104d1604133318ac86c058c642652","apps/web/public/assets/manor/classic/crops/75/mature.png","c1acdd21e809cd25bcc006f8e2a9836c80d104d1604133318ac86c058c642652","reviewed-ok","ready"
"75","legacy-75","桑葚","6","withered","6","withered","41","state-character","Crop_75.swf/DefineSprite_41/1.png","3b8740077b01607fba3cecfc38060fcca8e4e257161581c52be0a1ad233ddea7","apps/web/public/assets/manor/classic/crops/75/withered.png","3b8740077b01607fba3cecfc38060fcca8e4e257161581c52be0a1ad233ddea7","reviewed-ok","ready"
"77","legacy-77","蓝莓","0","seed","0","seed","3","state-character","Crop_77.swf/DefineSprite_3/1.png","58b49f759a42ac629e896a6787393133a543d6d32e6ae9fa9c482b42a3799728","apps/web/public/assets/manor/classic/crops/77/seed.png","58b49f759a42ac629e896a6787393133a543d6d32e6ae9fa9c482b42a3799728","reviewed-ok","ready"
"77","legacy-77","蓝莓","1","sprout","1","sprout","10","state-character","Crop_77.swf/DefineSprite_10/1.png","d9fc1786f36ff483b98d34122430c95691173d046597aa6fd55ec9cfca0ae3c2","apps/web/public/assets/manor/classic/crops/77/sprout.png","d9fc1786f36ff483b98d34122430c95691173d046597aa6fd55ec9cfca0ae3c2","reviewed-ok","ready"
"77","legacy-77","蓝莓","2","young","2","young","15","state-character","Crop_77.swf/DefineSprite_15/1.png","4f9d2e132617cf050fc27ac9b07709f802391734ffc935d23bc29cb120836cd3","apps/web/public/assets/manor/classic/crops/77/young.png","4f9d2e132617cf050fc27ac9b07709f802391734ffc935d23bc29cb120836cd3","reviewed-ok","ready"
"77","legacy-77","蓝莓","3","growing","3","growing","21","state-character","Crop_77.swf/DefineSprite_21/1.png","0000f7f5708d77ad76261eaba5b46b024b1ed08580b905846cff3ca88b68d999","apps/web/public/assets/manor/classic/crops/77/growing.png","0000f7f5708d77ad76261eaba5b46b024b1ed08580b905846cff3ca88b68d999","reviewed-ok","ready"
"77","legacy-77","蓝莓","4","pre_mature","4","pre_mature","26","state-character","Crop_77.swf/DefineSprite_26/1.png","4f76a7318fca6e1bbcd088a0d354841046dc74f2f70499c5f0794800628e7562","apps/web/public/assets/manor/classic/crops/77/pre_mature.png","4f76a7318fca6e1bbcd088a0d354841046dc74f2f70499c5f0794800628e7562","reviewed-ok","ready"
